"id","type","model_name","source_uri","x","y","z","roll","pitch","yaw"
"1","tree","world_jean_tree_001","model://world_jean_tree/meshes/world_jean_tree.obj","1.98624","0.404763","0","0","0","-1.40153"
"2","tree","world_jean_tree_002","model://world_jean_tree/meshes/world_jean_tree.obj","0","0","0","0","0","0"
"3","tree","world_jean_tree_003","model://world_jean_tree/meshes/world_jean_tree.obj","-2.32104","4.74936","0","0","0","-2.40563"
"4","tree","world_jean_tree_009","model://world_jean_tree/meshes/world_jean_tree.obj","-2.09123","-0.923786","0","0","0","0.384187"
"5","tree","world_jean_tree_010","model://world_jean_tree/meshes/world_jean_tree.obj","-2.37871","1.91497","0","0","0","0.963397"
"6","tree","world_jean_tree_014","model://world_jean_tree/meshes/world_jean_tree.obj","-1.23828","2.14476","0","0","0","-0.140443"
"7","tree","world_jean_tree_018","model://world_jean_tree/meshes/world_jean_tree.obj","3.05098","0.223972","0","0","0","2.20737"
"8","bush","Bush 2","model://bush_2/meshes/bush_2.obj","-6.04361","-5.68985","0","1.57079","0","0"
"9","bush","Bush 2_clone","model://bush_2/meshes/bush_2.obj","-7.52451","-6.09843","0","1.57079","0","0"
"10","tree","world_jean_tree_005_clone","model://world_jean_tree/meshes/world_jean_tree.obj","-6.83885","-4.88726","0","0","0","-2.83525"
"11","tree","world_jean_tree_006_clone","model://world_jean_tree/meshes/world_jean_tree.obj","-6.80626","-8.41087","0","0","0","-0.055596"
"12","bush","Bush 2_clone_clone","model://bush_2/meshes/bush_2.obj","-2.83557","-8.43174","0","1.57079","0","0"
"13","bush","Bush 2_clone_clone_0","model://bush_2/meshes/bush_2.obj","3.87929","-7.17497","0","1.57079","0","0"
"14","bush","Bush 2_clone_clone_1","model://bush_2/meshes/bush_2.obj","8.5224","-6.12644","0","1.57079","0","0"
"15","tree","world_jean_tree_017_clone","model://world_jean_tree/meshes/world_jean_tree.obj","6.66425","-8.18745","0","0","0","-0.96364"
"16","tree","world_jean_tree_017_clone_0","model://world_jean_tree/meshes/world_jean_tree.obj","8.15353","-9.4391","0","0","0","-0.96364"
"17","tree","world_jean_tree_017_clone_1","model://world_jean_tree/meshes/world_jean_tree.obj","6.17659","-10.6888","0","0","0","-0.96364"
"18","tree","world_jean_tree_017_clone_2","model://world_jean_tree/meshes/world_jean_tree.obj","10.6934","-1.14963","0","0","0","-0.96364"
"19","tree","world_jean_tree_017_clone_3","model://world_jean_tree/meshes/world_jean_tree.obj","12.1442","0.055081","0","0","0","-0.96364"
"20","bush","Bush 2_clone_clone_1_clone","model://bush_2/meshes/bush_2.obj","10.3527","-9.39984","0","1.57079","0","0"
"21","bush","Bush 2_clone_clone_1_clone_0","model://bush_2/meshes/bush_2.obj","13.4885","-0.881759","0","1.57079","0","0"
"22","bush","Bush 2_clone_clone_1_clone_1","model://bush_2/meshes/bush_2.obj","12.7046","1.20077","0","1.57079","0","0"
"23","tree","world_jean_tree_011_clone","model://world_jean_tree/meshes/world_jean_tree.obj","10.0984","8.98683","0","0","0","-0.903485"
"24","tree","world_jean_tree_011_clone_0","model://world_jean_tree/meshes/world_jean_tree.obj","8.37092","10.8652","0","0","0","-0.903485"
"25","tree","world_jean_tree_011_clone_1","model://world_jean_tree/meshes/world_jean_tree.obj","-8.59392","9.37061","0","0","0","-0.903485"
"26","tree","world_jean_tree_011_clone_3","model://world_jean_tree/meshes/world_jean_tree.obj","-7.80807","11.7158","0","0","0","-0.903485"
"27","tree","world_jean_tree_011_clone_4","model://world_jean_tree/meshes/world_jean_tree.obj","-5.5028","13.1412","0","0","0","-0.903485"
"28","bush","Bush 2_clone_clone_1_clone_2","model://bush_2/meshes/bush_2.obj","12.1716","10.5134","0","1.57079","0","0"
"29","bush","Bush 2_clone_clone_1_clone_3","model://bush_2/meshes/bush_2.obj","10.5415","6.9661","0","1.57079","0","0"
