id,type,model_name,source_uri,x,y,z,roll,pitch,yaw
1,tree,world_jean_tree_001,model://world_jean_tree/meshes/world_jean_tree.obj,1.98624,0.40476,0,0,0,-1.40153
2,tree,world_jean_tree_003,model://world_jean_tree/meshes/world_jean_tree.obj,-2.32104,4.74936,0,0,0,-2.40563
3,tree,world_jean_tree_005_clone,model://world_jean_tree/meshes/world_jean_tree.obj,-6.83885,-4.88726,0,0,0,-2.83525
4,tree,world_jean_tree_006_clone,model://world_jean_tree/meshes/world_jean_tree.obj,-6.80626,-8.41087,0,0,0,-0.055596
5,tree,world_jean_tree_009,model://world_jean_tree/meshes/world_jean_tree.obj,-2.09123,-0.92379,0,0,0,0.384187
6,tree,world_jean_tree_010,model://world_jean_tree/meshes/world_jean_tree.obj,-2.37871,1.91497,0,0,0,0.963397
7,tree,world_jean_tree_011_clone,model://world_jean_tree/meshes/world_jean_tree.obj,10.0984,8.98683,0,0,0,-0.903485
8,tree,world_jean_tree_011_clone_0,model://world_jean_tree/meshes/world_jean_tree.obj,8.37092,10.8652,0,0,0,-0.903485
9,tree,world_jean_tree_011_clone_1,model://world_jean_tree/meshes/world_jean_tree.obj,-8.59392,9.37061,0,0,0,-0.903485
10,tree,world_jean_tree_011_clone_3,model://world_jean_tree/meshes/world_jean_tree.obj,-7.80807,11.7158,0,0,0,-0.903485
11,tree,world_jean_tree_011_clone_4,model://world_jean_tree/meshes/world_jean_tree.obj,-5.5028,13.1412,0,0,0,-0.903485
12,tree,world_jean_tree_014,model://world_jean_tree/meshes/world_jean_tree.obj,-1.23828,2.14476,0,0,0,-0.140443
13,tree,world_jean_tree_014_clone,model://world_jean_tree/meshes/world_jean_tree.obj,11.0729,12.0525,0,0,0,-0.140443
14,tree,world_jean_tree_014_clone_0,model://world_jean_tree/meshes/world_jean_tree.obj,15.2294,9.8392,0,0,0,-0.140443
15,tree,world_jean_tree_014_clone_1,model://world_jean_tree/meshes/world_jean_tree.obj,16.3188,7.11802,0,0,0,-0.140443
16,tree,world_jean_tree_017_clone,model://world_jean_tree/meshes/world_jean_tree.obj,6.66425,-8.18745,0,0,0,-0.96364
17,tree,world_jean_tree_017_clone_0,model://world_jean_tree/meshes/world_jean_tree.obj,8.15353,-9.4391,0,0,0,-0.96364
18,tree,world_jean_tree_017_clone_1,model://world_jean_tree/meshes/world_jean_tree.obj,6.17659,-10.6888,0,0,0,-0.96364
19,tree,world_jean_tree_017_clone_2,model://world_jean_tree/meshes/world_jean_tree.obj,10.6934,-1.14963,0,0,0,-0.96364
20,tree,world_jean_tree_017_clone_3,model://world_jean_tree/meshes/world_jean_tree.obj,12.1442,0.05508,0,0,0,-0.96364
21,tree,world_jean_tree_017_clone_3_clone,model://world_jean_tree/meshes/world_jean_tree.obj,21.7624,11.0588,0,0,0,-0.96364
22,tree,world_jean_tree_017_clone_3_clone_0,model://world_jean_tree/meshes/world_jean_tree.obj,18.7706,12.0455,0,0,0,-0.96364
23,tree,world_jean_tree_017_clone_4,model://world_jean_tree/meshes/world_jean_tree.obj,6.12479,-9.55925,0,0,0,-0.96364
24,tree,world_jean_tree_017_clone_5,model://world_jean_tree/meshes/world_jean_tree.obj,-8.52875,-9.58702,0,0,0,-0.96364
25,tree,world_jean_tree_017_clone_6,model://world_jean_tree/meshes/world_jean_tree.obj,-10.9456,-9.66295,0,0,0,-0.96364
26,tree,world_jean_tree_017_clone_6_clone,model://world_jean_tree/meshes/world_jean_tree.obj,-14.1372,-12.4257,0,0,0,-0.96364
27,tree,world_jean_tree_017_clone_6_clone_0,model://world_jean_tree/meshes/world_jean_tree.obj,-13.51,-8.90631,0,0,0,-0.96364
28,tree,world_jean_tree_017_clone_7,model://world_jean_tree/meshes/world_jean_tree.obj,-13.8094,-4.12286,0,0,0,-0.96364
29,tree,world_jean_tree_018,model://world_jean_tree/meshes/world_jean_tree.obj,3.05098,0.22397,0,0,0,2.20737
30,bush,Bush 2,model://bush_2/meshes/bush_2.obj,-6.04361,-5.68985,0,1.57079,0,0
31,bush,Bush 2_clone,model://bush_2/meshes/bush_2.obj,-7.52451,-6.09843,0,1.57079,0,0
32,bush,Bush 2_clone_clone,model://bush_2/meshes/bush_2.obj,-2.83557,-8.43174,0,1.57079,0,0
33,bush,Bush 2_clone_clone_0,model://bush_2/meshes/bush_2.obj,3.87929,-7.17497,0,1.57079,0,0
34,bush,Bush 2_clone_clone_0_clone,model://bush_2/meshes/bush_2.obj,-3.24013,-6.28072,0,1.57079,0,0
35,bush,Bush 2_clone_clone_1,model://bush_2/meshes/bush_2.obj,8.5224,-6.12644,0,1.57079,0,0
36,bush,Bush 2_clone_clone_1_clone,model://bush_2/meshes/bush_2.obj,10.3527,-9.39984,0,1.57079,0,0
37,bush,Bush 2_clone_clone_1_clone_0,model://bush_2/meshes/bush_2.obj,13.4885,-0.88176,0,1.57079,0,0
38,bush,Bush 2_clone_clone_1_clone_1,model://bush_2/meshes/bush_2.obj,12.7046,1.20077,0,1.57079,0,0
39,bush,Bush 2_clone_clone_1_clone_2,model://bush_2/meshes/bush_2.obj,12.1716,10.5134,0,1.57079,0,0
40,bush,Bush 2_clone_clone_1_clone_3,model://bush_2/meshes/bush_2.obj,10.5415,6.9661,0,1.57079,0,0
41,bush,Bush 2_clone_clone_1_clone_4,model://bush_2/meshes/bush_2.obj,-7.62479,10.3688,0,1.57079,0,0
42,bush,Bush 2_clone_clone_1_clone_5,model://bush_2/meshes/bush_2.obj,-5.97278,12.6192,0,1.57079,0,0
43,bush,Bush 3,model://bush_3/meshes/bush_3.obj,1.79788,-10.9738,0,1.57079,0,0
44,bush,Bush 3_clone,model://bush_3/meshes/bush_3.obj,0.18551,-12.7582,0,1.57079,0,0
45,bush,Bush 3_clone_0,model://bush_3/meshes/bush_3.obj,3.10593,-13.3626,0,1.57079,0,0
46,bush,Bush 3_clone_1,model://bush_3/meshes/bush_3.obj,2.80683,11.7862,0,1.57079,0,0
47,bush,Bush 3_clone_2,model://bush_3/meshes/bush_3.obj,4.00314,14.5781,0,1.57079,0,0
48,bush,Bush 3_clone_3,model://bush_3/meshes/bush_3.obj,2.06905,14.0669,0,1.57079,0,0
49,bush,Bush 3_clone_3_clone,model://bush_3/meshes/bush_3.obj,5.68897,4.83527,0,1.57079,0,0
50,bush,Bush 3_clone_4,model://bush_3/meshes/bush_3.obj,17.1021,-10.6666,0,1.57079,0,0
