"id","type","model_name","source_uri","x","y","z","roll","pitch","yaw"
"1","tree","new_tree_1","model://new_tree_1/meshes/new_tree_1.obj","3.70955","4.75476","0","0","0","0"
"2","tree","new_tree_2","model://new_tree_2/meshes/new_tree_2.obj","1.37795","6.29024","0","0","0","0"
"3","tree","new_tree_2_0","model://new_tree_2/meshes/new_tree_2.obj","9.827","5.40444","0","0","0","0"
"4","tree","new_tree_4","model://new_tree_4/meshes/new_tree_4.obj","8.11786","4.95476","0.01045","0","0","0"
"5","tree","new_tree_4_clone","model://new_tree_4/meshes/new_tree_4.obj","7.10004","3.91218","0.01045","0","0","0"
"6","tree","new_tree_8","model://new_tree_8/meshes/new_tree_8.obj","5.15048","4.16396","0.02235","0","0","0"
"7","tree","new_tree_8_clone","model://new_tree_8/meshes/new_tree_8.obj","7.44122","7.01974","0.02235","0","0","0"
"8","bush","new_shrub_2","model://new_shrub_2/meshes/new_shrub_2.obj","2.7266","4.72577","0","0","0","0"
"9","bush","new_shrub_2_clone","model://new_shrub_2/meshes/new_shrub_2.obj","5.34964","3.06676","0","0","0","0"
"10","bush","new_shrub_2_clone_clone","model://new_shrub_2/meshes/new_shrub_2.obj","5.8061","4.48443","0","0","0","0"
"11","bush","new_shrub_3","model://new_shrub_3/meshes/new_shrub_3.obj","2.43936","5.55325","0","0","0","0"
"12","bush","new_shrub_3_0","model://new_shrub_3/meshes/new_shrub_3.obj","9.5799","5.12521","0","0","0","0"
"13","bush","new_shrub_3_0_clone","model://new_shrub_3/meshes/new_shrub_3.obj","10.0418","4.75465","0","0","0","0"
"14","bush","new_shrub_3_0_clone_0","model://new_shrub_3/meshes/new_shrub_3.obj","10.0544","5.41982","0","0","0","0"
"15","bush","new_shrub_3_0_clone_1","model://new_shrub_3/meshes/new_shrub_3.obj","10.4496","5.1628","0","0","0","0"
"16","bush","new_shrub_3_clone","model://new_shrub_3/meshes/new_shrub_3.obj","4.57049","3.92531","0","0","0","0"
"17","bush","new_shrub_3_clone_clone","model://new_shrub_3/meshes/new_shrub_3.obj","1.04406","6.07105","0","0","0","0"
"18","bush","new_shrub_4","model://new_shrub_4/meshes/new_shrub_4.obj","3.88917","3.82164","0","0","0","0"
"19","bush","new_shrub_6","model://new_shrub_6/meshes/new_shrub_6.obj","1.49906","5.63062","0","0","0","0"
"20","bush","new_shrub_6_clone","model://new_shrub_6/meshes/new_shrub_6.obj","1.80146","6.01522","0","0","0","0"
"21","bush","new_shrub_6_clone_0","model://new_shrub_6/meshes/new_shrub_6.obj","3.3951","4.50137","0","0","0","0"
"22","bush","new_shrub_6_clone_1","model://new_shrub_6/meshes/new_shrub_6.obj","3.67392","4.23237","0","0","0","0"
