"id","type","model_name","source_uri","x","y","z","roll","pitch","yaw"
"1","tree","world_jean_tree_001","model://world_jean_tree/meshes/world_jean_tree.obj","1.986238","0.404763","0","0","0","-1.401532"
"2","tree","world_jean_tree_002","model://world_jean_tree/meshes/world_jean_tree.obj","0","0","0","0","0","0"
"3","tree","world_jean_tree_003","model://world_jean_tree/meshes/world_jean_tree.obj","-2.321035","4.749358","0","0","0","-2.405628"
"4","tree","world_jean_tree_004","model://world_jean_tree/meshes/world_jean_tree.obj","0.754366","-0.724326","0","0","0","-1.852761"
"5","tree","world_jean_tree_005","model://world_jean_tree/meshes/world_jean_tree.obj","0.257643","-2.963321","0","0","0","-2.835246"
"6","tree","world_jean_tree_006","model://world_jean_tree/meshes/world_jean_tree.obj","-3.915372","-4.709622","0","0","0","-0.055596"
"7","tree","world_jean_tree_007","model://world_jean_tree/meshes/world_jean_tree.obj","-4.350989","-4.475341","0","0","0","-0.055596"
"8","tree","world_jean_tree_008","model://world_jean_tree/meshes/world_jean_tree.obj","0.027284","-2.63339","0","0","0","-2.444524"
"9","tree","world_jean_tree_009","model://world_jean_tree/meshes/world_jean_tree.obj","-2.091227","-0.923786","0","0","0","0.384187"
"10","tree","world_jean_tree_010","model://world_jean_tree/meshes/world_jean_tree.obj","-2.378709","1.914971","0","0","0","0.963397"
"11","tree","world_jean_tree_011","model://world_jean_tree/meshes/world_jean_tree.obj","-1.143144","3.841885","0","0","0","-0.903485"
"12","tree","world_jean_tree_012","model://world_jean_tree/meshes/world_jean_tree.obj","-3.062804","1.605219","0","0","0","-2.68991"
"13","tree","world_jean_tree_013","model://world_jean_tree/meshes/world_jean_tree.obj","4.685165","3.038776","0","0","0","1.851518"
"14","tree","world_jean_tree_014","model://world_jean_tree/meshes/world_jean_tree.obj","-1.238277","2.144758","0","0","0","-0.140443"
"15","tree","world_jean_tree_015","model://world_jean_tree/meshes/world_jean_tree.obj","3.556717","1.347686","0","0","0","0.462843"
"16","tree","world_jean_tree_016","model://world_jean_tree/meshes/world_jean_tree.obj","3.246999","-2.14999","0","0","0","-2.599724"
"17","tree","world_jean_tree_017","model://world_jean_tree/meshes/world_jean_tree.obj","2.192528","-3.880258","0","0","0","-0.96364"
"18","tree","world_jean_tree_018","model://world_jean_tree/meshes/world_jean_tree.obj","3.050985","0.223972","0","0","0","2.207372"
"19","tree","world_jean_tree_019","model://world_jean_tree/meshes/world_jean_tree.obj","-0.665921","-3.660063","0","0","0","0.942517"
"20","tree","world_jean_tree_020","model://world_jean_tree/meshes/world_jean_tree.obj","-1.806085","-1.958286","0","0","0","1.279711"
